ID,Name,Class,Eliminations,Deposits,WartDistance,Score,WinRate,Strength,Speed,Defense,Dexterity,Fortitude,Total,ImageURL,Stars,Fur,Traits,Link
2,Two,Defender,1.08,0.92,125.66,317.89,50.00,250.75,320.00,556.46,12.00,27.00,"1,166.21",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_8cd5e73bcd162502f607de85271aa994c94c8f4493ae141305bd394acef671f8_300x300.png,4,Common,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=2&Champion%20Token%20ID_min=2
73,Trippy,Striker,0.01,5.14,0.50,319.41,49.32,46.00,319.67,50.00,502.99,267.00,"1,185.66",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_99b45c6a6ce5734f1afe0c0c0ac6eed00b346267bf54c183147c251482b61327_300x300.png,4,Shadow,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=73&Champion%20Token%20ID_min=73
227,The Golden Boy,Sprinter,0.13,4.57,22.80,322.19,50.11,45.55,529.57,300.08,251.00,28.13,"1,154.34",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_23a46c4dd53bbc18ef0beeefeb80fcf5ae59688336b8c69db2e4c8552521a535_300x300.png,6,Gold,Tongue Out,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=227&Champion%20Token%20ID_min=227
235,SuperMagus,Defender,1.06,0.05,224.32,330.73,49.43,272.34,301.02,531.22,69.93,80.00,"1,254.51",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_bc9f5d635d63accf8397e9cb8084618e1bfe394eae181cfe518b636b555c7ce6_300x300.png,8,Shadow,Tongue Out,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=235&Champion%20Token%20ID_min=235
298,Defrankong,Bruiser,2.00,0.17,12.31,294.89,56.74,514.54,21.50,243.18,29.33,248.51,"1,057.06",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_23f59d9e8a8b7819e7876e27233a8d8d79a31e69a5c29ad77201465e2b18cf68_300x300.png,1,Common,Onesie,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=298&Champion%20Token%20ID_min=298
316,Maid of Coins,Center,1.55,0.38,75.41,296.12,52.51,308.08,224.00,208.00,31.00,228.00,999.08,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_9b3ba6d0e8c4a1ecc80bb94327006791a567bea28b5c55194ea8c2e8b13cfbf7_300x300.png,1,Common,Apron,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=316&Champion%20Token%20ID_min=316
368,DUNG SHOGUN,Defender,0.38,3.23,77.92,320.49,50.91,318.88,340.90,519.96,45.00,36.96,"1,261.70",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_0556cf47cb22844c987e7d6be4c841d1e5bc873fc464859e87dda551e7988257_300x300.png,5,Shadow,Ronin,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=368&Champion%20Token%20ID_min=368
392,Teardrop,Striker,0.01,5.03,0.30,311.35,48.17,54.00,336.39,61.00,497.65,271.35,"1,220.38",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_Teardrop_300x300.png,3,1 of 1,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=392&Champion%20Token%20ID_min=392
446,Sir Brew,Bruiser,2.20,0.11,14.09,322.30,61.64,516.84,17.00,250.00,24.00,227.00,"1,034.84",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_20bf31817f33165e2c488598f28e0b8b8fabb08da2b0c9cc8b9f237f6bddb2ae_300x300.png,6,Common,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=446&Champion%20Token%20ID_min=446
467,Salvador Dali,Sprinter,0.59,2.75,72.63,319.99,51.14,23.05,485.17,278.33,225.00,41.34,"1,052.88",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_c2f1e10d2d7de5059f8739e1bf27a02fcb86768bfceec05a7d423234272743a8_300x300.png,4,Common,Apron,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=467&Champion%20Token%20ID_min=467
523,Goldilocks,Defender,1.10,0.06,203.45,323.60,50.80,239.00,278.86,558.52,44.00,50.00,"1,170.38",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_37ed6cf852a79b9de2450085015da8bcdac73bc287753effbd959261f1462ef9_300x300.png,7,Gold,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=523&Champion%20Token%20ID_min=523
539,Bloodmoon,Sprinter,0.93,0.66,179.93,322.31,48.17,131.55,457.29,254.08,221.00,17.00,"1,080.93",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_bbf5912ceb529d74ad5297fd8eeff2fdf02940e5cb8083de0b10f1aacf5ac408_300x300.png,6,Common,Onesie,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=539&Champion%20Token%20ID_min=539
561,Eggsy,Bruiser,1.13,2.30,7.01,326.86,60.16,492.35,48.49,285.22,7.00,241.63,"1,074.68",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_0f5f59ae52efcc5198dd40cdad3eeb7843dc6194d47e2d12b323d243db243573_300x300.png,8,Common,Tongue Out,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=561&Champion%20Token%20ID_min=561
670,Tea Bone,Defender,0.64,2.13,123.10,328.94,50.00,219.00,282.58,544.16,25.00,21.00,"1,091.74",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_c598115170e62e11ca5b52d9f732a2ec1769e558d78488512f821a8e398307dc_300x300.png,8,Common,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=670&Champion%20Token%20ID_min=670
807,Banana Mogger,Bruiser,2.01,0.17,15.54,294.98,55.02,555.98,21.00,235.50,10.00,216.00,"1,038.48",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_921564b2ac23d177f500c7f55fc2c4fcead0a7d36cb2167bb73b96e169ea8f82_300x300.png,1,Common,Onesie,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=807&Champion%20Token%20ID_min=807
818,POOtaTurd,Bruiser,1.35,1.10,83.37,326.19,52.05,586.78,49.00,350.72,50.00,270.86,"1,307.36",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_b3501f0b213ca439a1ffa1ecf0b4d7934501f502efdf2062a027fb9a750c564c_300x300.png,7,Spirit,Tongue Out,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=818&Champion%20Token%20ID_min=818
857,Shine,Sprinter,0.66,1.96,118.47,318.78,49.66,5.00,468.86,305.37,232.00,22.00,"1,033.24",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_ccc6992a86fcf6cd3ece8bcf400bd50694f66125ba3655512ed5780bf11bd560_300x300.png,4,Common,Kimono | Crying Eye,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=857&Champion%20Token%20ID_min=857
939,Pengu,Striker,0.01,5.11,0.50,320.72,50.80,17.00,255.94,18.00,520.38,207.00,"1,018.32",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_ef613b726aa09ac4b0d76819cf66109ee0649b5bbe18c320b418eb6859dc3029_300x300.png,5,Common,Onesie,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=939&Champion%20Token%20ID_min=939
962,Mokiwitch,Bruiser,1.03,2.43,22.73,310.94,54.22,593.53,88.62,298.29,60.82,284.82,"1,326.08",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_Mokiwitch_300x300.png,3,1 of 1,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=962&Champion%20Token%20ID_min=962
964,Shady,Defender,0.34,3.59,57.73,319.91,48.74,219.00,260.51,521.60,26.00,18.00,"1,045.12",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_f861748ab2bc1b3348708790641d10b00f0d8cc13f4179483f18757f8e5375ba_300x300.png,4,Common,Kimono,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=964&Champion%20Token%20ID_min=964
984,Mr Carrot,Defender,1.26,1.92,22.06,318.90,54.00,216.00,323.34,457.69,20.00,23.33,"1,040.36",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_59c1f6bb6507b6fb3663db8d9ee2fe16392e61e884be0fce88a0d8c10bf30ca9_300x300.png,4,Common,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=984&Champion%20Token%20ID_min=984
987,sweet90s,Bruiser,1.82,0.26,47.20,304.15,55.14,600.04,106.07,302.71,55.00,265.18,"1,329.00",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_sweet90s_300x300.png,2,1 of 1,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=987&Champion%20Token%20ID_min=987
1001,Burns Wenipee,Defender,1.05,0.29,148.19,281.54,43.84,241.46,241.72,445.00,38.02,32.00,998.19,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_f0a4e96834ec84aaaf07ea15992ccbf4f6667c228e60a7b003a6ad09de000858_300x300.png,1,Rainbow,Blue Overalls,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1001&Champion%20Token%20ID_min=1001
1029,Midnight,Defender,1.15,0.05,205.88,324.54,48.63,225.00,307.56,417.33,21.00,16.62,987.51,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_de6952f75957cd252af280981b605681b3aa3b63365235331a0ef4b8b0d137ed_300x300.png,7,Common,Tengu,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1029&Champion%20Token%20ID_min=1029
1055,THANK U 4 PLAYIN,Sprinter,0.80,1.59,147.42,328.46,47.37,73.51,587.44,324.63,262.00,41.00,"1,288.58",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_2eb550b90059e71cbe70974992dcf01007d8e3f687f64276a6d1d46c74ca3e8e_300x300.png,8,Shadow,Tongue Out,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1055&Champion%20Token%20ID_min=1055
1071,Lil Tomato,Sprinter,0.26,3.93,50.61,324.65,49.66,18.00,447.71,266.39,264.25,116.00,"1,112.35",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_877dd4b238d6376f3f62f69eca0770a7cb6d9305e2a152f152a9520a6942357c_300x300.png,7,Common,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1071&Champion%20Token%20ID_min=1071
1095,Nakimushi,Defender,1.11,1.81,22.05,281.14,49.89,232.00,263.00,479.42,20.00,33.15,"1,027.57",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_6d1b88463312f725a171b45d7e79e6a661271c27cb7c1123a82aca842d0edd76_300x300.png,1,Common,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1095&Champion%20Token%20ID_min=1095
1105,Golden Purps,Defender,1.42,0.85,78.26,323.48,55.02,254.64,297.00,470.08,50.00,54.62,"1,126.33",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_a749c2848939962fbbe248d86b6802886869b061db8b7bd1f6a9a4ad27b2e87a_300x300.png,7,Gold,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1105&Champion%20Token%20ID_min=1105
1133,Bearish,Striker,0.01,4.98,0.50,309.84,48.40,23.00,225.00,12.00,452.44,305.01,"1,017.45",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_91c30e974bfa8c573c380c10174ae2f92804fdfcfbc67c9c23d4a53fc8fa7af1_300x300.png,2,Common,Bear,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1133&Champion%20Token%20ID_min=1133
1173,BadAss,Defender,0.87,1.17,155.33,327.84,48.06,265.00,323.75,553.19,46.00,77.00,"1,264.94",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_c48761e38cad3ae82571c885cb4fd4b9c8376e61dcd67b6cc21686cbefa9363f_300x300.png,8,Shadow,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1173&Champion%20Token%20ID_min=1173
1176,Fortune Gobbler,Striker,0.01,5.02,0.94,311.47,47.83,42.00,294.34,47.00,497.03,346.12,"1,226.49",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_e8e80db5e14e478dd49e1fae3ed5a3c1647a2351cf00ad56efb93440eecbf95d_300x300.png,3,Shadow,Crying Eye,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1176&Champion%20Token%20ID_min=1176
1235,Bio Phantom,Defender,1.06,0.04,223.10,333.00,51.26,242.00,298.71,550.76,73.00,89.76,"1,254.23",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_5ccd239c22d168a74efc7a770815ccd121a18db3193c7c3280e02ed3dca18b86_300x300.png,8,Spirit,Tongue Out,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1235&Champion%20Token%20ID_min=1235
1270,Low Tier Phenom,Bruiser,1.20,2.19,6.95,321.63,57.53,506.47,21.00,250.61,22.00,210.00,"1,010.08",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_ff56b48d598944cae793b4dd81932e39a45237133dcfbed9b4cdebc7effb9c97_300x300.png,6,Common,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1270&Champion%20Token%20ID_min=1270
1418,PNLS,Defender,1.06,0.05,211.36,319.18,49.32,296.04,301.09,468.51,45.00,42.00,"1,152.64",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_8f1c9f71d6143ee1580973f7d77abb3b0f657b3c9cb5d75fa24854b8d03a820e_300x300.png,4,Gold,Tongue Out,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1418&Champion%20Token%20ID_min=1418
1444,Zombina,Bruiser,1.90,0.20,29.53,299.68,56.96,499.44,25.00,236.00,15.00,214.00,989.44,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_4f6027d6e3d117f5637b77d9b3d8ede8a12f7d6e9024110234de7526f872a501_300x300.png,2,Common,Pink Overalls,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1444&Champion%20Token%20ID_min=1444
1454,Peelbert Grumps,Striker,0.01,4.98,0.60,320.06,52.97,15.00,236.49,32.00,508.50,222.00,"1,013.99",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_eb9d2573fac33b8b466c895484b2248f3104945c3606ecad51e3a524b08d8a24_300x300.png,4,Common,Onesie,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1454&Champion%20Token%20ID_min=1454
1494,Spartacus,Sprinter,0.61,2.25,112.33,321.00,48.52,65.17,519.76,307.68,234.00,38.00,"1,164.61",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_5907fb9ffed8d4bb343f1b66bdef86c339149c551c45917b44d206891b634021_300x300.png,5,Rainbow,Devious Mouth,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1494&Champion%20Token%20ID_min=1494
1521,UlquiorrA,Defender,1.54,0.92,56.87,325.01,55.59,280.40,312.41,561.17,53.00,49.00,"1,255.98",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_89c9303e64213a57ef4ce58a62249a11228d79a70280857c7528bf3e7b17e309_300x300.png,7,Spirit,Tongue Out,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1521&Champion%20Token%20ID_min=1521
1569,Sir Carrotstein,Defender,1.10,0.05,208.35,322.56,49.20,226.00,315.49,503.00,33.32,35.00,"1,112.80",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_79c8c3135de5acd17fde932a5ce75bfdbef5e87acd244935069b199ca964d51a_300x300.png,6,Rainbow,Blue Overalls,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1569&Champion%20Token%20ID_min=1569
1600,Not Nisheep,Forward,1.12,1.96,22.13,294.60,52.63,326.77,220.00,27.00,205.00,223.00,"1,001.77",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_a1b2ae93f8c8f10fe27285df77427399306a5d1b78522cc111664b160fc69a40_300x300.png,1,Common,Onesie | Crying Eye,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1600&Champion%20Token%20ID_min=1600
1749,Stone of David,Striker,0.01,5.16,0.57,322.12,50.80,16.00,344.68,17.00,426.34,229.09,"1,033.10",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_96f82d51af19b26c9b29ef07f4a8c1ef632a29dbc5f1094942f1d4d0192c373e_300x300.png,6,Common,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1749&Champion%20Token%20ID_min=1749
1787,KOHI,Defender,1.10,0.04,207.63,322.98,49.89,230.99,323.54,500.02,25.00,28.58,"1,108.13",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_a53de0a9e30d3525c45347e99dd63f665b6b4b9e56d6e8105f8b844c540eeb44_300x300.png,7,Rainbow,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1787&Champion%20Token%20ID_min=1787
1826,Mokington,Bruiser,1.13,2.34,7.47,319.73,55.94,601.01,73.98,249.00,80.00,255.00,"1,258.99",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_Mokington_300x300.png,4,1 of 1,,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1826&Champion%20Token%20ID_min=1826
1863,Mr Teabag,Bruiser,0.85,0.88,172.43,319.90,46.46,524.93,51.04,216.00,67.66,217.00,"1,076.63",https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_47add106ee19c3beedd1d76ca8723a983397e8bb3d3d458cd9a06c3462e70b25_300x300.png,4,Common,Samurai,https://marketplace.roninchain.com/collections/0x9e8ed4ff354bd11602255b3d8e1ed13a1bb26b4b?Champion%20Token%20ID_max=1863&Champion%20Token%20ID_min=1863
